X,Y,Z,Cu,Mo
3499.95,4558.23,4890.939,-0.43695422721311716,-3.3813653430337873
3499.95,4551.4204,4877.5737,-0.35667351536832426,-3.170061851458401
3499.95,4544.6104,4864.2085,-0.4155139288112984,-2.7488565707445343
3499.95,4537.8003,4850.8438,-0.4231185166304932,-2.6736342817362733
3499.95,4530.9907,4837.4785,-0.22439308165218994,-2.0794335417118357
3499.95,4524.1807,4824.1133,-0.34108144271012436,-2.7646046797007062
3499.95,4517.3711,4810.7485,-0.35953474355603443,-2.995712273753988
3499.95,4510.561,4797.3833,-0.27312060706086777,-3.270142803812532
3499.95,4503.751,4784.0181,-0.4049637338172623,-2.956492329816388
3499.95,4496.9414,4770.6528,-0.410978780501786,-2.9004039120967717
3499.95,4490.1313,4757.2881,-0.5310266304046842,-3.036533434957924
3499.95,4483.3218,4743.9229,-0.5744738746450899,-2.688232868031808
3499.95,4476.5117,4730.5576,-0.6329913745028001,-2.9187527140708096
3499.95,4469.7021,4717.1924,-0.6014781672182681,-3.170061851458401
3499.95,4462.8921,4703.8276,-0.5293273975391223,-3.352378646472307
3499.95,4457.2173,4692.6899,-0.5447254513052273,-3.5065245645421914
3499.95,4417.6855,5269.6509,-0.30924488797072935,-2.6172821392974344
3499.95,4423.8145,5257.6221,-0.4796483907899605,-3.1235429180494094
3499.95,4430.6245,5244.2568,-0.3886065161165754,-2.733352624589457
3499.95,4437.4341,5230.8921,-0.45098405355249316,-2.6172821392974344
3499.95,4444.2441,5217.5269,-0.3652818775541805,-2.813394050232257
3499.95,4451.0537,5204.1616,-0.3581031061341856,-2.7968650215005737
3499.95,4457.8638,5190.7964,-0.30516602994161784,-2.733352624589457
3499.95,4464.6738,5177.4316,-0.3215822448180687,-2.4304071009321326
3499.95,4471.4834,5164.0664,-0.2903509641101577,-2.312625327888461
3499.95,4478.2935,5150.7012,-0.3467231986594076,-2.6450613175329654
3499.95,4485.103,5137.3359,-0.410978780501786,-2.7968650215005737
3499.95,4491.9131,5123.9712,-0.463622432457841,-2.6736342817362733
3499.95,4498.7231,5110.606,-0.3710622321165199,-2.5770087808876334
3499.95,4505.5327,5097.2407,-0.3523969646973772,-2.407934497602489
3499.95,4512.3428,5083.876,-0.25360147013995477,-2.375145033198519
3499.95,4519.1523,5070.5107,-0.3624041818671404,-2.2163982224831504
3499.95,4525.9624,5057.1455,-0.3243446736984644,-2.23491709876951
3499.95,4532.772,5043.7803,-0.3989846516985999,-2.703047734329419
3499.95,4539.582,5030.4155,-0.40796673456801497,-2.7968650215005737
3499.95,4546.3921,5017.0503,-0.4700020292470155,-2.7968650215005737
3499.95,4553.2017,5003.6851,-0.4004760740609256,-2.7488565707445343
3499.95,4560.0117,4990.3203,-0.4094716234827408,-2.8646864674418295
3499.95,4566.8213,4976.9551,-0.42006973842866957,-2.4418356661407383
3499.95,4573.6313,4963.5898,-0.44316541766099016,-2.8823857312635677
3499.95,4580.4414,4950.2246,-0.48288463433251966,-3.244167992155575
3499.95,4587.251,4936.8599,-0.463622432457841,-2.813394050232257
3499.95,4594.061,4923.4946,-0.44628554012964017,-3.101070567236505
3499.95,4600.8706,4910.1294,-0.46521352015851825,-2.9759100386069055
3499.95,4607.6807,4896.7642,-0.45098405355249316,-2.780604765034859
3499.95,4614.4907,4883.3994,-0.3841915044049215,-2.9004039120967717
3499.95,4621.3003,4870.0342,-0.3509755023705581,-2.5510336318619067
3499.95,4628.1104,4856.6689,-0.3812589552835754,-2.488902623065347
3499.95,4634.9199,4843.3042,-0.3624041818671404,-2.6450613175329654
3499.95,4641.73,4829.939,-0.43232102144718476,-2.538294768367382
3499.95,4648.5396,4816.5737,-0.4700020292470155,-3.036533434957924
3499.95,4655.3496,4803.2085,-0.5124920114189995,-3.2188508251806955
3499.95,4662.1597,4789.8438,-0.5430028009613111,-3.270142803812532
3499.95,4668.9692,4776.4785,-0.44472426200028137,-2.718085385555343
3499.95,4675.7793,4763.1133,-0.5074961725451276,-3.170061851458401
3499.95,4682.5889,4749.7485,-0.5378525838266089,-3.2188508251806955
3499.95,4689.3989,4736.3833,-0.5533834990558641,-3.6496202801618196
3499.95,4696.209,4723.0181,-0.5942054211124796,-3.5065245645421914
3499.95,4703.0186,4709.6528,-0.5447254513052273,-3.5065245645421914
3499.95,4709.8286,4696.2881,-0.5816040169198722,-3.5065245645421914
3499.95,4716.6382,4682.9229,-0.5568678170682223,-3.036533434957924
3499.95,4723.4482,4669.5576,-0.5551241405038094,-3.4419881266706813
3499.95,4730.2578,4656.1924,-0.4877587221718257,-3.2968103396761093
3499.95,4737.0679,4642.8276,-0.5344337829219389,-3.324208563134045
3499.95,4429.4893,5247.4946,-0.38272415486409,-1.9310146400336197
3499.95,4437.4341,5231.9023,-0.49429468247186154,-1.4610135969802889
3499.95,4444.2441,5218.5371,-0.6217553222776132,-2.52571614438638
3499.95,4451.0537,5205.1719,-0.6180378527872913,-3.244167992155575
3499.95,4457.8638,5191.8066,-0.655849469035831,-2.6172821392974344
3499.95,4464.6738,5178.4419,-0.5568678170682223,-2.7488565707445343
3499.95,4471.4834,5165.0767,-0.6069676494581909,-3.015914572916489
3499.95,4478.2935,5151.7114,-0.5447254513052273,-2.813394050232257
3499.95,4485.103,5138.3462,-0.5638730873881063,-3.1235429180494094
3499.95,4491.9131,5124.9814,-0.5798167095402507,-3.101070567236505
3499.95,4498.7231,5111.6162,-0.5621171637691152,-2.718085385555343
3499.95,4505.5327,5098.251,-0.54817968020745,-2.9187527140708096
3499.95,4512.3428,5084.8862,-0.5259375695300931,-2.995712273753988
3499.95,4519.1523,5071.521,-0.48450669207331154,-2.154156467223275
3499.95,4525.9624,5058.1558,-0.4975787522804805,-3.3813653430337873
3499.95,4532.772,5044.7905,-0.5191921927656508,-2.7488565707445343
3499.95,4539.582,5031.4258,-0.6069676494581909,-3.101070567236505
3499.95,4546.3921,5018.0605,-0.5499112793732863,-2.5770087808876334
3499.95,4553.2017,5004.6953,-0.5905887871823305,-3.101070567236505
3499.95,4560.0117,4991.3306,-0.5361417223500322,-2.353867861121208
3499.95,4566.8213,4977.9653,-0.5191921927656508,-3.036533434957924
3499.95,4012.6917,5232.5117,-0.5887853634355238,-3.611881376626625
3499.95,4017.0046,5224.0474,-0.5533834990558641,-3.244167992155575
3499.95,4023.8145,5210.6821,-0.5691594339960626,-2.9187527140708096
